OBJECTID,Join_Count,TARGET_FID,Property_I,Funding_So,Additional,Property,Address,City,Owner_Org_,Management,County,Zip,Total_Unit,S8_Asst_Un,Program_Ty,Overall_Ex,Financing,Loan_Mat_,Owner_Type,T2T6,S8_Risk_Le,Combined_R,TCAC_Risk_,TCAC_Years,expiration,TCAC_Appli,TCAC_,TCAC_Total,TCAC_Housi,TCAC_Const,TCAC_App_1,TCAC_Year_,TCAC_PIS_D,NEW_TCAC_A,USDA_W__Re,USDA_W__Se,USDA_Opera,USDA_Date_,USDA_W__Ta,Total_USDA,Mortgage_r,Original_C,Total_Affo,Property_S,Expiring_w,Original_1,TCAC_Risk1,Org_type,Latitude,Longitude,GEOID10
25,1,25,1025.000000000000000,HUD,no,THE HERITAGE,"2222 PACHECO BLVD                            
",CONCORD,CONCORD HOMES INC.,Barcelon Associates Management Corporation,Contra Costa,94520,196.000000000000000,121.000000000000000,LMSA,7/31/2029 0:00:00,236(j)(1),4/1/2016 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,196.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.979044000000002,-122.033917000000000,06013328000
26,1,26,1026.000000000000000,HUD,no,WITTENBERG MANOR II,"713 BARTLETT AVE                             
",HAYWARD,"Wittenberg Manor II, a Non-Profit Corp.",Barcelon Associates Management Corporation,Alameda,94541,65.000000000000000,64.000000000000000,PRAC/202,9/23/2013 0:00:00,202/162,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,65.000000000000000,2.000000000000000,1.000000000000000,1, ,Small Nonprofit,37.669415000000001,-122.118345000000010,06001436100
27,1,27,1027.000000000000000,HUD,no,WITTENBERG MANOR,"657 Bartlett AVE                             
",HAYWARD,"WITTENBERG MANOR, A NON PROFIT CORP.",Barcelon Associates Management Corporation,Alameda,94541,95.000000000000000,95.000000000000000,Sec 8 NC,8/31/2029 0:00:00,231,8/1/2049 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,95.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.669902999999998,-122.117079000000000,06001436100
28,1,28,1028.000000000000000,HUD,no,CRANE PLACE APARTMENTS,"1331 CRANE ST                                
",MENLO PARK,"Peninsula Volunteers Properties, Inc.",Barcelon Associates Management Corporation,San Mateo,94025,93.000000000000000,93.000000000000000,Sec 8 NC,12/31/2028 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,93.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.452871000000002,-122.188389000000000,06081612600
29,1,29,1029.000000000000000,HUD,no,Lakemount  Apartments,"136 E 12th St                                
",Oakland,"Lakemount, LLC",Barcelon Associates Management Corporation,Alameda,94606,66.000000000000000,66.000000000000000,LMSA,6/30/2029 0:00:00, ,,Profit Motivated, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,66.000000000000000,2.000000000000000,0.000000000000000,1, ,Profit Motivated,37.797702999999998,-122.257675000000010,06001406000
30,1,30,1030.000000000000000,HUD,no,ORINDA SENIOR VILLAGE,"20 IRWIN WAY                                 
",ORINDA VILLAGE,"ORINDA SENIOR VILLAGE, INC.",Barcelon Associates Management Corporation,Contra Costa,94563,150.000000000000000,150.000000000000000,202/8 NC,11/30/2028 0:00:00,207/223(f),11/1/2041 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,150.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.884861999999998,-122.189167000000000,06013354002
31,1,31,1031.000000000000000,HUD,no,CHILPANCINGO VISTA,"102 CHILPANCINGO PKY                         
",PLEASANT HILL,"CHILPANCINGO VISTA, Inc.",Barcelon Associates Management Corporation,Contra Costa,94523,25.000000000000000,25.000000000000000,202/8 NC,8/31/2032 0:00:00,202,1/1/2023 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,1,25.000000000000000,1.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.974851000000001,-122.068592000000000,06013321200
32,1,32,1032.000000000000000,HUD,no,CASA DE REDWOOD,"1280 VETERANS BLVD                           
",REDWOOD CITY,"Casa de Redwood, Inc.",Barcelon Associates Management Corporation,San Mateo,94063,136.000000000000000,93.000000000000000,LMSA,6/30/2029 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,136.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.489136000000002,-122.220288999999990,06081610201
33,1,33,1033.000000000000000,HUD,no,CASA DE VIDA,"5157 DIAMOND HEIGHTS BLVD                    
",SAN FRANCISCO,"Casa De Vida, A Limited Partnership",Barcelon Associates Management Corporation,San Francisco,94131,21.000000000000000,21.000000000000000,Sec 8 NC,10/31/2032 0:00:00,221(d)(4)MKT,4/1/2022 0:00:00,Profit Motivated, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,21.000000000000000,1.000000000000000,0.000000000000000,1, ,Profit Motivated,37.746949999999998,-122.440337000000000,06075021600
34,1,34,1034.000000000000000,HUD,no,CASA DEL PUEBLO,"200 S MARKET ST                              
",SAN JOSE,"RETAIL STORE EMPLS BLDG CORP, A CA NONPROF",Barcelon Associates Management Corporation,Santa Clara,95113,165.000000000000000,154.000000000000000,LMSA,9/30/2029 0:00:00,236(j)(1),3/1/2017 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,165.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.332211999999998,-121.889123000000000,06085500800
35,1,35,1035.000000000000000,HUD,no,EAST BAY TRANSIT HOMES,"2787 79TH ST                                 
",OAKLAND,"EAST BAY TRANSITIONAL HOMES, INC.","Bay Area Community Services, Inc.",Alameda,94605,12.000000000000000,12.000000000000000,202/8 NC,6/30/2016 0:00:00,202,5/1/2025 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,3,12.000000000000000,1.000000000000000,1.000000000000000,3, ,Small Nonprofit,37.765109000000002,-122.167709000000000,06001408400
36,1,36,1036.000000000000000,HUD,no,BAY HOUSE,"400 Fairview Dr.                             
",NAPA,"Bayberry House, Inc.","Bayberry House, Inc.",Napa,94559,6.000000000000000,6.000000000000000,PRAC/811,3/24/2013 0:00:00,202/162,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,6.000000000000000,1.000000000000000,1.000000000000000,1, ,Small Nonprofit,38.296149999999997,-122.271279000000010,06055200301
37,1,37,1037.000000000000000,HUD,no,BETHANY CENTER,"580 CAPP ST                                  
",SAN FRANCISCO,"BETHANY CENTER SENIOR HOUSING, INC.","BETHANY CENTER SENIOR HOUSING, INC.",San Francisco,94110,134.000000000000000,123.000000000000000,LMSA,2/28/2025 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,134.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.757474999999999,-122.417855000000000,06075020800
38,1,38,1038.000000000000000,HUD,no,BONITA GROVE,"1910 Hearst ST                               
",BERKELEY,Bonita Inc.,BONITA HOUSE INC.,Alameda,94709,12.000000000000000,12.000000000000000,202/8 SR,10/31/2027 0:00:00,202,1/1/2023 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,1,12.000000000000000,1.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.873386000000004,-122.272748000000010,06001422400
39,1,39,1039.000000000000000,HUD,no,EMERYVILLA APARTMENTS,"4320 SAN PABLO AVE                           
",EMERYVILLE,"EmeryvilleSenior Housing, Inc, a CA NP Public Corp",BRIDGE Property Management Company,Alameda,94608,50.000000000000000,49.000000000000000,202/8 NC,7/31/2032 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,50.000000000000000,2.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.833663000000001,-122.280638999999990,06001425104
40,1,40,1040.000000000000000,HUD,no,Chestnut Creek Senior Housing,"65 CHESTNUT AVENUE                           
",SOUTH SAN FRANCISCO,Chestnut Creek Senior Housing Inc.,BRIDGE Property Management Company,San Mateo,94080,40.000000000000000,40.000000000000000,PRAC/202,2/28/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,40.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.656840000000003,-122.431674000000000,06081601902
41,1,41,1041.000000000000000,HUD,no,CHARLES STREET VILLAGE,"42 CHARLES STREET                            
",COTATI,"Charles Street Village, Inc.",Burbank Housing Management Corp,Sonoma,94931,48.000000000000000,47.000000000000000,PRAC/202,2/28/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,48.000000000000000,1.000000000000000,1.000000000000000,1, ,Small Nonprofit,38.325964999999997,-122.704575000000010,06097151203
42,1,42,1042.000000000000000,HUD,no,Boulevard Apartments,"945 Petaluma Blvd North                      
",PETALUMA,"Boulevard Apartments, Inc.",Burbank Housing Management Corp,Sonoma,94952,14.000000000000000,14.000000000000000,PRAC/811,5/31/2013 0:00:00,811,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,14.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,38.245390000000000,-122.644899000000000,06097150902
43,1,43,1043.000000000000000,HUD,no,PARK LANE APARTMENTS,"109 MAGNOLIA AVE                             
",PETALUMA,Park Lane Apartments Corp,Burbank Housing Management Corp,Sonoma,94952,90.000000000000000,87.000000000000000,Preservation,12/31/2014 0:00:00,223a7/241f/236,11/1/2034 0:00:00,Non-Profit,T6,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- T6,1,90.000000000000000,2.000000000000000,1.000000000000000,1, ,Small Nonprofit,38.244881999999997,-122.647623999999990,06097150901
44,1,44,1044.000000000000000,HUD,no,WEST OAKS APARTMENTS,"2542 GUERNEVILLE ROAD                        
",SANTA ROSA,West Oaks Investors,Burbank Housing Management Corp,Sonoma,95403,53.000000000000000,0.000000000000000, ,,542(c),1/1/2040 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,0,53.000000000000000,2.000000000000000,0.000000000000000,0, ,Large/Medium Nonprofit,38.452534000000000,-122.770858000000000,06097153005
45,1,45,1045.000000000000000,HUD,no,VINECREST SENIOR APARTMENTS,"8400 HEMBREE LANE                            
",WINDSOR,"VINECREST SENIOR APARTMENTS, INC",Burbank Housing Management Corp,Sonoma,95492,60.000000000000000,59.000000000000000,PRAC/202,12/31/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,60.000000000000000,2.000000000000000,1.000000000000000,1, ,Small Nonprofit,38.546230999999999,-122.797961000000000,06097153806
46,1,46,1046.000000000000000,HUD,no,HOTEL OAKLAND,"270 Thirteenth ST                            
",OAKLAND,Hotel Oakland Associates,CADENCE PROPERTY MANAGEMENT LLC,Alameda,94612,315.000000000000000,315.000000000000000,Sec 8 SR,4/30/2030 0:00:00,207/223(f),10/1/2046 0:00:00,Profit Motivated, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,315.000000000000000,3.000000000000000,0.000000000000000,1, ,Profit Motivated,37.801977000000001,-122.267360000000000,06001403000
47,1,47,1047.000000000000000,HUD,no,VINCENTIAN VILLA,"1825 Mission St                              
",San Francisco,VINCENTIAN VILLA CORPORATION,California First Management Associates,San Francisco,94103,124.000000000000000,72.000000000000000,LMSA,7/31/2014 0:00:00,236(j)(1),8/1/2013 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,3,124.000000000000000,3.000000000000000,1.000000000000000,3, ,Small Nonprofit,37.767811999999999,-122.419916000000000,06075020100
48,1,48,1048.000000000000000,HUD,no,PARKWAY PLAZA,"188 E ALASKA AVE                             
",FAIRFIELD,North Bay Human Development Corporation,California Human Development  Corporation,Solano,94533,100.000000000000000,99.000000000000000,202/8 NC,9/30/2030 0:00:00,207/223(f),11/1/2041 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,100.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,38.272584999999999,-122.032580000000000,06095252606
49,1,49,1049.000000000000000,HUD,no,SUNNY VIEW WEST,"22449 CUPERTINO RD                           
",CUPERTINO,"SUNNY VIEW LUTHERAN HOME, a Nonprofit Corporation","CARING Housing Ministries, Inc.",Santa Clara,95014,100.000000000000000,100.000000000000000,202/8 NC,3/31/2031 0:00:00,202,8/1/2019 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,100.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.323081000000002,-122.067481000000000,06085507703
50,1,50,1050.000000000000000,HUD,no,COLOSIMO APARTMENTS,"3290 25th street                             
",SAN FRANCISCO,"COLOSIMO APARTMENTS, INC.",CARITAS MANAGEMENT CORPORATION,San Francisco,94110,11.000000000000000,11.000000000000000,Sec 8 NC,4/30/2032 0:00:00,221(d)(3)MKT,7/1/2022 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,11.000000000000000,1.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.750794999999997,-122.415948000000000,06075022901
51,1,51,1051.000000000000000,HUD,no,29th Avenue Apartments,420 29th Avenue,San Francisco,"St. Peter's Supportive Housing, Inc",CARITAS MANAGEMENT CORPORATION,San Francisco,94118,19.000000000000000,19.000000000000000,PRAC/811,2/28/2014 0:00:00,811,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,19.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.781317000000001,-122.489099000000000,06075042700
52,1,52,1052.000000000000000,HUD,no,ABEL GONZALES,"1045 CAPP ST                                 
",SAN FRANCISCO,"MISSION HSG. DEVELOPMENT PROPERTIES III, INC.",CARITAS MANAGEMENT CORPORATION,San Francisco,94110,30.000000000000000,29.000000000000000,202/8 SR,11/30/2032 0:00:00,202,2/1/2032 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,1,30.000000000000000,1.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.749993000000003,-122.417117000000000,06075020900
